Event,Date,Status,Tickets Sold,Tickets Available
ROCKAWAY: 8.30am Meditation & Yoga by the beach,"Jul 30, 2016 8:30 AM",Past,3,97
ROCKAWAY BEACH: 3PM Meditation & talk on Strong Emotions with Khenmo Drolma,"Jul 30, 2016 3:00 PM",Past,23,177
ROCKAWAY BEACH: 8.30am Every Sunday Meditation by the beach,"Jul 31, 2016 8:30 AM",Past,0,100
"FORT TILDEN: Art of Living, A Day Long Retreat with Khenmo Drolma","Jul 31, 2016 9:00 AM",Past,64,36
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Aug 2, 2016 7:00 PM",Past,5,95
EAST VILLAGE: Meditation & Dhamma discussion with Bhikkhu Bodhi,"Aug 4, 2016 7:00 PM",Past,29,171
RIIS PARK: 8.30am Every Saturday Meditation & Yoga by the beach,"Aug 6, 2016 8:30 AM",Past,0,100
"ROCKAWAY BEACH, NYC: Every Saturday 3pm meditation with Bhante Suddhāso","Aug 6, 2016 3:00 PM",Past,0,100
ROCKAWAY BEACH: 8.30am Every Sunday Meditation by the beach,"Aug 7, 2016 8:30 AM",Past,2,98
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Aug 9, 2016 7:00 PM",Past,0,100
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Suddhāso,"Aug 11, 2016 7:00 PM",Past,1,199
"WILLIAMSBURG, BK: Metta Meditation with Bhante Suddhāso","Aug 12, 2016 7:00 PM",Past,0,100
Wake Up Call at Riis Park: A Day-Party with Rockaway Summer,"Aug 13, 2016 8:30 AM",Past,0,100
RIIS PARK: 8.30am Every Saturday Meditation & Yoga by the beach,"Aug 13, 2016 8:30 AM",Past,3,97
"ROCKAWAY BEACH, NYC: Every Saturday 3pm meditation with Bhante Suddhāso","Aug 13, 2016 3:00 PM",Past,0,100
ROCKAWAY BEACH: 8.30am Every Sunday Meditation by the beach,"Aug 14, 2016 8:30 AM",Past,0,100
FORT TILDEN: Healing Arts & Sunset Meditation with Bhante Suddhāso,"Aug 14, 2016 4:00 PM",Past,31,69
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Aug 16, 2016 7:00 PM",Past,6,94
BUSHWICK: Meditation & Dhamma Talk with Brother Phap Hai,"Aug 16, 2016 7:00 PM",Past,0,100
PIONEER WORKS: Meditate like a Buddha – Mindfulness of Breathing with Ajahn Punnadhammo,"Aug 16, 2016 7:30 PM",Past,36,164
EAST VILLAGE: Meditation & Dhamma discussion with Ajahn Punnadhammo,"Aug 18, 2016 7:00 PM",Past,11,189
RIIS PARK: 8.30am Every Saturday Meditation & Yoga by the beach,"Aug 20, 2016 8:30 AM",Past,0,100
"ROCKAWAY BEACH, NYC: 3pm meditation with Ajahn Punnadhammo","Aug 20, 2016 3:00 PM",Past,0,100
ROCKAWAY BEACH: 8.30am Every Sunday Meditation by the beach,"Aug 21, 2016 8:30 AM",Past,0,100
BRONX: Day-Long Retreat - Deepening Samādhi with Ajahn Punnadhammo,"Aug 21, 2016 10:00 AM",Past,26,74
